"CouncillorID","CllrFirstName","CllrSurname","CllrTwitter","CllrWebsite","Party","Council","Ward"
249,"John","Jillings","johnjillings","","Conservative","Cannock Chase Council District Council","Heath Hayes East and Wimblebury"
250,"Darrell","Mawle","councillormawle","","Liberal Democrat","Cannock Chase Council District Council","Rawnsley"
251,"Jonathan","Knott","jonathanknott","http://www.jonathanknott.co.uk","Labour","London Borough of Newham","Plaistow North"
252,"Bob","Smytherman","bsmytherman","http://bobsmytherman.mycouncillor.org.uk","Liberal Democrat","Worthing Borough Council","Tarring"
253,"Michael","Berridge","michael30b","","Liberal Democrat","Canterbury City Council","St Stephens"
254,"James","Flanagan","jamescanterbury","","Liberal Democrat","Canterbury City Council","Westgate"
255,"Stephen","Dye","steve_dye","","Liberal Democrat","Canterbury City Council","Westgate"
256,"Jo","Calvert-Mindell","jazzb4me","","Liberal Democrat","Canterbury City Council","St Stephens"
257,"John","Friary","johnfriary","http://www.johnfriary.blogspot.com","Labour","London Borough of Southwark","Camberwell Green"
258,"Alison","McGovern","alison_mcgovern","","Labour","London Borough of Southwark","Brunswick Park"
259,"Tudor","Evans","councillortudor","","Labour","Plymouth City Council","Ham"
260,"Paula","Keaveney","paulakeaveney","http://www.paulakeaveney.blogspot.com","Liberal Democrat","Liverpool City Council","Cressington"
261,"Philip","Parkin","peparkin","http://www.philipparkin.com","Conservative","Birmingham City Council","Sutton Trinity"
262,"Stephen","Allison","stephenallison","http://steveallison107.blogspot.com","UKIP","Hartlepool Borough Council","St Hilda"
263,"Niknam","Hussain","niknamh","","Liberal Democrat","Buckinghamshire County Council","Aylesbury North"
264,"Robert-John","Tasker","robert_j_m_t","","Conservative","Royal Borough of Kingston upon Thames","Coombe Vale"
265,"William","Lloyd","walloyd","","Conservative","Brentwood Borough Council","Warley"
266,"Matthew","Scott","mattscottuk","http://mattscottuk.wordpress.com","Conservative","London Borough of Bexley","St Michaels"
267,"Andy","Bayford","andybayford","","Conservative","Leicester City Council","Knighton"
268,"Ian","Gilbert","cllriangilbert","http://www.rselabour.com/ian_gilbert","Labour","Southend-on-Sea Borough Council","Victoria"
269,"Stuart","Hutton","cllrhutton","","Conservative","Cheltenham Borough Council","Warden Hill"
275,"Jonathan","Simpson","simpsonjonathan","","Labour","London Borough of Camden","Kings Cross"
277,"Julian","Bell","juliangbell","http://www.ealinglabour.com","Labour","London Borough of Ealing","Greenford Broadway"
279,"Darren","Cranshaw","darrencranshaw","","Unknown","Brindle Parish Council",""
281,"John","Dodd","john_dodd","http://localfocusnews.blogspot.com/","Liberal Democrat","Sefton Metropolitan Borough Council","Meols"
282,"Derek","Antrobus","cllrantrobus","","Labour","Salford City Council","Swinton North"
283,"Jeremy","Oates","jeremyotamworth","","Conservative","Staffordshire County Council","Tamworth - Amington"
283,"Jeremy","Oates","jeremyotamworth","","Conservative","Tamworth Borough Council","Trinity"
284,"James","Keeley","jameskeeley","http://www.liscardnewsline.com","Conservative","Wirral Metropolitan Borough Council","Licard and Egremont"
285,"Lesley","Rennie","lesleyrennie","","Conservative","Wirral Metropolitan Borough Council","Wallasey"
286,"Bill","Stevens","councillorbill","","Labour","Plymouth City Council","Devonport"
287,"Katrina","Bull","katrinabull","","Labour","Nottingham City Council","Radford and Park Ward"
288,"Paul","Farmer","cllrpaulfarmer","http://www.paulfarmer.com","Conservative","St Edmundsbury Borough Council","Abbeygate"
289,"Lucy","Watt","lucy_watt","","Liberal Democrat","London Borough of Islington","Canonbury"
290,"Kim","Forward","kimforward","","Labour","Hastings Borough Council","Gensing"
291,"Trevor","Webb","trevorwebb","http://trevorwebb.wordpress.com","Labour","Hastings Borough Council","Central St Leonards"
292,"Darren","Fower","cllrdarrenfower","","Liberal Democrat","Peterborough City Council","Werrington South"
293,"Jenny","Antill","jennyjackdaws","http://www.jennyantillsblog.blogspot.com/","Conservative","Babergh District Council","Waldingfield"
295,"David","Archer","cllrdavidarcher","","Ulster Unionist Party","Lisburn City Council","Lisburn Town North"
296,"Grant","Thoms","grantthoms","","Scottish National Party","Glasgow City Council","North East"
298,"Owen","Thompson","owen_thompson","","Scottish National Party","Midlothian Council","Midlothian West"
299,"Chris","Best","chrisbestuk","http://www.chrisbest.labour.co.uk","Labour","London Borough of Lewisham","Sydenham"
300,"Rene","Kinzett","renekinzett","http://renekinzett.blogspot.com","Conservative","Swansea City Council","Mayals"
301,"John","Beacroft-Mitchell","johnbm","http://www.johnbm.com","Liberal Democrat","Hebden Royd Town Council","Cragg Vale"
302,"Ravi","Govindia","27rav54","","Conservative","London Borough of Wandsworth","Nightingale"
303,"John","Hallmark","johnhallmark","","Conservative","London Borough of Wandsworth","St Marys Park"
304,"Rowan","Cole","cllrrowancole","http://www.rowancole.co.uk","Conservative","Elmbridge Borough Council","Elmbridge"
309,"Raj","Chandarana","rajcroydon","","Labour","London Borough of Croydon","West Thornton"
310,"Neil","Matthews","neilmatthews1","http://neilmatthews.org.uk","Liberal Democrat","Shepway District Council","Hythe West"
313,"Beccy","Hopfensperger","rhopfensperger","http://www.hopfensperger.co.uk","Conservative","Suffolk County Council","Thingoe North"
314,"A J","Howard","tonyhowardmusic","","Labour","East Lindsey District Council","Mablethorpe East"
314,"Tony","Howard","tonyhowardmusic","","Labour","Mablethorpe and Sutton Town Council",""
315,"Richard","Watts","richardwatts01","","Labour","London Borough of Islington","Tollington"
316,"Ken","Wyatt","kenwyatt","http://www.swintonheritage.org.uk","Labour","Rotherham Metropolitan Borough Council","Swinton"
317,"Mahroof","Hussain","mahroofhussain","http://mahroofhussain.org","Labour","Rotherham Metropolitan Borough Council","Boston Castle"
318,"Steve","Beasant","stevebeasant","http://stevebeasant.mycouncillor.org.uk","Liberal Democrat","North East Lincolnshire Council","East Marsh"
319,"Les","Bonner","lesbonner","http://lesbonner.mycouncillor.org.uk","Liberal Democrat","North East Lincolnshire Council","Yarborough"
320,"Jon-Paul","Howarth","jphowarth","","Labour","North East Lincolnshire Council","East Marsh"
321,"Stephen","Corrall","stevecorrall","","Labour","Leicester City Council","New Parks"
322,"Ross","Willmott","leaderleicester","","Labour","Leicester City Council","Rushey Mead"
323,"Pat","Kitterick","pat_kitterick","","Labour","Leicester City Council","Castle"
324,"Vic","D&#39;Albert","vicdalbert","http://www.vicdalbert.net","Liberal Democrat","Bury Metropolitan Borough Council","Holyrood"
325,"Marie","Pye","mariepye","","Labour","London Borough of Waltham Forest","Leytonstone"
327,"Mark","Kirk","markantonkirk","","Labour","North Lincolnshire Borough Council","Crosby and Park"
328,"Tom","Garrod","tomgarrod","http://thomasgarrod.blogspot.com","Conservative","Norfolk County Council","Yarmouth North and Central "
329,"Steve","Manion","s_manion","http://www.readmyday.co.uk/stephen-manion","Conservative","Kent County Council","Dover North"
329,"Stephen","Manion","s_manion","http://www.readmyday.co.uk/stephen-manion","Conservative","Dover District Council","Eastry"
329,"Stephen","Manion","s_manion","http://www.readmyday.co.uk/stephen-manion","Conservative","Great Mongeham Parish Council",""
331,"Sean","Lever","seanlever","","Conservative","East Northamptonshire Council","Irthlingborough John Pyel"
332,"Ian","George","iandgeorge","","Conservative","Royal Borough of Kingston upon Thames","Alexandra"
333,"Alan","Macro","alanmacro","http://www.theale.org.uk","Liberal Democrat","West Berkshire District Council","Theale"
334,"Janet","Holben","janholben","","Conservative","Shepway District Council","Folkestone Sandgate"
334,"Janet","Holben","janholben","","Conservative","Sandgate Parish Council","Valley"
335,"Max","Drury","maxdrury","","Conservative","Cheshire West and Chester Unitary Authority","City"
336,"Mark","Pullen","markpullen","","Unknown","Haworth, Cross Roads and Stanbury Parish Council",""
337,"John","Wright","cllrjohnwright","http://www.blackburnlabour.org/cpark","Labour","Blackburn with Darwen Borough Council","Corporation Park"
338,"Stewart","Golton","stewartgolton","http://www.elmetrothwelllibdems.org.uk","Liberal Democrat","Leeds City Council","Rothwell"
339,"Conservative Group","Councillors","enccons","http://www.conservatives.com/Where_you_live/east_midlands.aspx","Conservative","East Northamptonshire Council",""
340,"Alex","Phillips","alexforgoldsmid","","Green Party","Brighton & Hove City Council","Goldsmid"
341,"Dorothy","Thornhill","mayordorothy","http://www.dorothythornhill.com","Liberal Democrat","Watford Borough Council","Elected Mayor"
342,"Phil","Chamberlain","philchamberlain","http://takingoutthetrash.typepad.co.uk/","Green Party","Colerne Parish Council",""
343,"Martin","Heatley","cllrheatley","","Conservative","Warwickshire County Council","Nuneaton Whitestone"
344,"Carl","Minns","carlminns","http://carlminns.blogspot.com","Liberal Democrat","Hull City Council","Kings Park"
345,"Belinda","Brooks-Gordon","belindabg","http://www.facebook.com/profile.php?&new_box_added_id=7730584433","Liberal Democrat","Cambridgeshire County Council","Castle"
346,"Ian","Shires","walsalllibdem","http://ianshires.mycouncillor.org.uk/","Liberal Democrat","Walsall Metropolitan Borough Council","Willenhall North"
347,"Kings Hedges Liberal Democrat","Councillors","kingshedges","http://kingshedgesfocus.blogspot.com","Liberal Democrat","Cambridge City Council","Kings Hedges"
348,"Tony","Jones","cllrtonyjones","http://www.cllrtonyjones.com/","Independent","Reading Borough Council","Battle"
349,"Brian","Northall","briannorthall","http://www.oldspeedboats.co.uk/forum/","Conservative","East Northamptonshire Council","Irthlingborough Waterloo"
350,"Gill","Mercer","gmercer51","","Conservative","East Northamptonshire Council","Rushden Pemberton"
351,"Andrew","Langley","andrewrlangley","","Conservative","Northamptonshire County Council","Irthlingborough"
352,"Les","Gilbert","lwgilbert","","Conservative","Cheshire East Council","Congleton Rural"
353,"Chris","Page","cllrchrispage","http://www.chris-page.org.uk/","Labour","London Borough of Southwark","Camberwell Green"
354,"Stephen","West","cllrstephenwest","http://www.stephenwest.org/","Conservative","Basingstoke Borough Council","Tadley Central"
354,"Stephen","West","cllrstephenwest","http://www.stephenwest.org/","Conservative","Tadley Town Council","Tadley North"
355,"Tony","Cox","cllrcox","http://www.shoeburyconservatives.com/","Conservative","Southend-on-Sea Borough Council","West Shoebury"
356,"Darryl","Beckford","cllrbeckford","http://darrylbeckford.blogspot.com/","Conservative","Cheshire East Council","Macclesfield West"
357,"Andrew","Dawson","frodshamtory","http://www.frodshamtories.co.uk","Conservative","Cheshire West and Chester Unitary Authority","Frodsham and Helsby"
358,"Paul","Darby","prdarby","http://pauldarby.mycouncillor.org.uk/","Liberal Democrat","Wiltshire Council","Chippenham Hardenhuish"
358,"Paul","Darby","prdarby","http://pauldarby.mycouncillor.org.uk/","Liberal Democrat","Chippenham Town Council","Hill Rise"
359,"Peter","Black","peterblackwales","http://www.peterblack.blogspot.com/","Liberal Democrat","Swansea City Council","Cwmbwrla"
360,"Charles","Dundas","cdundas","","Liberal Democrat","Edinburgh City Council","City Centre"
361,"Gary","Millar","garymillar","http://www.parrstreet.co.uk","Liberal Democrat","Liverpool City Council","Old Swan"
362,"James","Gurling","jgurling","","Liberal Democrat","London Borough of Southwark","Newington"
363,"Herfordshire Liberal Democrat","Councillors","hertslibdems","http://herts.libdems.org","Liberal Democrat","Hertfordshire County Council",""
364,"Esther","Harrington","cllreppie","","Independent","Ingleby Barwick Town Council",""
365,"Martin","Rawson","martinrawson","","Labour","Derby City Council","Derwent"
366,"Joe","Taylor","joetaylorld","","Liberal Democrat","Sheffield City Council","Hillsborough"
367,"Louise","Lotz","llotusflower","","Liberal Democrat","Welwyn Hatfield Borough Council","Peartree"
368,"Alan","Knox","allanmknox","http://allanknox.mycouncillor.org.uk","Liberal Democrat","Lancashire County Council","Clitheroe"
368,"Alan","Knox","allanmknox","http://allanknox.mycouncillor.org.uk","Liberal Democrat","Ribble Valley District Council","Primrose"
368,"Alan","Knox","allanmknox","http://allanknox.mycouncillor.org.uk","Liberal Democrat","Clitheroe Town Council","Primrose"
369,"Abigail","Bell","abibell","","Liberal Democrat","Hull City Council","Pickering"
370,"Sarita","Bush","cllrsaritabush","","Liberal Democrat","Hull City Council","Pickering"
371,"Andrew","Chamberlain","cllrchamberlain","","Liberal Democrat","North Ayrshire Council","Kilwinning"
372,"Canonbury Ward Liberal Democrat","Councillors","canonburylibdem","http://canonburyward.mycouncillor.org.uk","Liberal Democrat","London Borough of Islington","Canonbury"
373,"Katharine","Dean","katdn7","","Liberal Democrat","Aberdeen City Council","Kincorth/Loirston"
374,"Jim","Hume","jimhumemsp","http://www.jimhumemsp.com/","Liberal Democrat","Scottish Borders Council","Galashiels and District"
375,"Kirsten","Bayes","kirruth","","Liberal Democrat","Reading Borough Council","Redlands"
376,"Chris","Leaman","leamanchris","","Liberal Democrat","London Borough of Brent","Mapesbury"
377,"Neil","McGovern","nmcgovern","","Liberal Democrat","Cambridge City Council","Kings Hedges"
379,"Simon","Hall","cllr_simon_hall","","Labour","London Borough of Croydon","Fieldway"
380,"Sandra","Bauer","sandrabauer","","Labour","London Borough of Bexley","Thamesmead East"
381,"Allan","Andrews","allanandrews","http://www.allanandrews.info","Conservative","Coventry City Council","Earlsdon"
382,"Amy","Plenderleith","amyplenderleith","","Conservative","South Derbyshire District Council","Hilton"
383,"Ben","Duncan","kemptownben","http://greenkemptownben.blogspot.com/","Green Party","Brighton & Hove City Council","Queens Park"
384,"Matthew","Barber","matthew_barber","http://www.matthewbarber.co.uk/","Conservative","Vale of White Horse District Council","Faringdon and The Coxswells"
385,"Robin","Lawrence","robin4mp","http://www.wolverhamptonlibdems.org.uk","Liberal Democrat","Wolverhampton City Council","Park"
386,"Darren","Briddock","cllrdarren","","Liberal Democrat","Hythe Town Council","West"
387,"Sam","Matthews","combatsam","","Liberal Democrat","Hythe Town Council","West"
388,"Dave","Hodgson","davethemayor","http://mayordave.org.uk","Liberal Democrat","Bedford Borough Council","Elected Mayor"
389,"Karen","Chilvers","ldkatz71","http://www.karenchilvers.mycouncillor.org.uk/","Liberal Democrat","Brentwood Borough Council","Brentwood West"
390,"David","Kendall","cllrdjkendall","http://www.brentwood-ongarlibdems.org.uk/","Liberal Democrat","Brentwood Borough Council","Pilgrims Hatch"
390,"David","Kendall","cllrdjkendall","http://www.brentwood-ongarlibdems.org.uk/","Liberal Democrat","Essex County Council","Brentwood South"
391,"Linda","Golding","lindabythewinda","","Conservative","Brentwood Borough Council","Herongate, Ingrave and West Horndon"
392,"Keith","Sparling","thebackman","http://thebrentwoodosteopath.co.uk/","Conservative","Brentwood Borough Council","Brizes and Doddinghurst"
393,"Elaine","Emerton","elliemo1","","Conservative","Gloucester City Council","Quedgeley Fieldcourt"
394,"Florence","Nosegbe","queenflo","http://brixtonhill.blogspot.com/","Labour","London Borough of Lambeth","Brixton Hill"
395,"Colin","Hall","ultra_fox","http://councillor.leicester.gov.uk/home/colin-hall","Labour","Leicester City Council","New Parks"
396,"Lisa","Mytton","cllrlisamytton","","Independent","Merthyr Tydfil County Borough Council","Vaynor"
397,"Phil","North","thephilnorth","http://philnorthconservative.blogspot.com/","Conservative","Test Valley Borough Council","Alamein"
398,"Richard","Davies","rgdavies","","Conservative","Lincolnshire County Council","Grantham North West"
399,"Sam","Rowlands","cllrsamrowlands","","Conservative","Conwy County Borough Council","Pentre Mawr"
399,"Sam","Rowlands","cllrsamrowlands","","Conservative","Abergele Town Council","Pentre Mawr"
400,"Richard","Greening","rwgreening","","Labour","London Borough of Islington","Highbury West"
401,"Ross","Houston","rossshouston","","Labour","London Borough of Barnet","West Finchley"
402,"Brenda","Warrington","cllrbwarrington","","Labour","Tameside Metropolitan Borough Council","Denton West"
403,"Andrew","Marshall","andrewimarshall","http://www.swisscottagecourier.blogspot.com","Conservative","London Borough of Camden","Swiss Cottage"
405,"Pete","Bedford","cllrpetebedford","","Conservative","East Northamptonshire Council","Rushden Pemberton"
406,"John","Chilver","claycon","http://claydonconservative.blogspot.com/","Conservative","Aylesbury Vale District Council","Steeple Claydon"
407,"Andrew","Pakes","andrew4mk","http://www.andrewpakes.org.uk/","Labour","London Borough of Southwark","Livesey"
408,"Steve","Norman","cllrsgnorman","","Labour","Lichfield District Council","Summerfield"
408,"Steven","Norman","cllrsgnorman","","Labour","Burntwood Town Council","Summerfield"
409,"Russell","Field","evilruss","","Liberal Democrat","Coventry City Council","Upper Stoke"
410,"Roger","Hughes","rogerehughes","","Green Party","Conwy Town Council","Aberconwy"
411,"Rex","Osborn","rexosborn","","Labour","London Borough of Wandsworth","Graveney"
412,"Ryland","Doyle","ryland1","","Labour","Swansea City Council","Llansamlet"
413,"Darren","Grover","ukpcdaz","http://www.sussex.ac.uk/Users/dg32/blog/","Liberal Democrat","Newhaven Town Council","Meeching"
414,"Glenn","Goodall","glenn_goodall","http://www.glenngoodall.org.uk/","Liberal Democrat","Reading Borough Council","Redlands"
415,"Peter","Seib","peterseib","http://peterseib.mycouncillor.org.uk/","Liberal Democrat","South Somerset District Council","Brympton"
416,"Warley Conservative","Councillors","warleytory","http://warley.yourcllr.com","Conservative","Brentwood Borough Council","Warley"
417,"Phil","Edwards","philedaberconwy","http://www.aberconwy.plaidcymru.org/","Plaid Cymru","Conwy County Borough Council","Llandrillo yn Rhos"
418,"Jason","Weyman","cllrjason","http://jasonweyman.blogspot.com/","Independent","Conwy County Borough Council","Deganwy"
419,"Mike","Priestley","mp4mp","","Liberal Democrat","Conwy County Borough Council","Marl"
420,"Linda","Hurr","welshlh","","Conservative","Conwy County Borough Council","Marl"
421,"Paul","Crossley","paulncrossley","http://www.paulcrossley.mycouncillor.org.uk/","Liberal Democrat","Bath and North East Somerset Council","Southdown"
422,"Henry","Pipe","henrypipe","http://www.henrypipe.com","Conservative","London Borough of Enfield","Palmers Green"
423,"Andrew","Wallis","cllrawallis","http://cllrandrewwallis.blogspot.com/","Independent","Cornwall Council","Porthleven and Helston South"
424,"Adam","Ogilvie","adampogilvie","","Labour","Leeds City Council","Beeston and Holbeck"
425,"Jamie","Matthews","jamiematthews84","","Liberal Democrat","Leeds City Council","Headingley"
426,"Paul","Ankers","cllrpaulankers","http://paulankers.mycouncillor.org.uk/","Liberal Democrat","Manchester City Council","Chorlton"
427,"Mark","Smith","cllrmsmith","","Conservative","Lincolnshire County Council","Skegness North"
428,"Andrea","Jenkyns","andreajenkyns","http://www.andreajenkyns.com/","Conservative","Lincolnshire County Council","Boston North West"
429,"Raymond","Singleton-Mcguire","raymondsmg","http://www.smgblog.co.uk/","Conservative","Lincolnshire County Council","Boston Fishtoft"
430,"Jon","Hubbard","cllrjonhubbard","http://www.jonhubbard.org/","Liberal Democrat","Wiltshire Council","Melksham South"
431,"Kenneth","Hawkins","councillorken","http://kennyhawkins.blogspot.com/","Conservative","Solihull Metropolitan Borough Council","Elmdon"
432,"Keith","House","cllrkeithhouse","http://www.eastleigh.gov.uk/keithhouse","Liberal Democrat","Eastleigh Borough Council","Wildern"
432,"Keith","House","cllrkeithhouse","http://www.eastleigh.gov.uk/keithhouse","Liberal Democrat","Hampshire County Council","Bursledon, Hamble and Netley"
433,"Rodney","Berman","rodneyberman","","Liberal Democrat","Cardiff City Council","Plasnewydd"
434,"Delme","Greening","lazymonkie","","Liberal Democrat","Cardiff City Council","Butetown"
435,"Piers","McCausland","piersmcc","","Conservative","London Borough of Wandsworth","Fairfield"
436,"Jenny","Chamberlin","disscouncillor","http://jennychamberlin.wordpress.com","Conservative","Norfolk County Council","Diss and Roydon"
438,"Eloise","Ellis","eloiseellis","http://www.SpacetoLive.co.uk/","Conservative","South Norfolk District Council","Diss"
439,"Chris","Robbins","crobbinslbwf","","Labour","London Borough of Waltham Forest","Grove Green"
440,"Terry","Grayshon","terrygrayshon","http://www.terrygrayshon.co.uk/","Independent","Morley Town Council","Morley Central"
440,"Terrence","Grayshon","terrygrayshon","http://www.terrygrayshon.co.uk/","Independent","Leeds City Council","Morley South"
441,"Graham","Jones","clrjones","","Labour","Hyndburn Borough Council","Peel"
441,"Graham","Jones","clrjones","","Labour","Lancashire County Council","Accrington South"
442,"Nick","Worth","nickworth","http://www.nickworth.ik.com/","Conservative","South Holland District Council","Holbeach Hurn"
442,"Nick","Worth","nickworth","http://www.nickworth.ik.com/","Conservative","Lincolnshire County Council","Holbeach"
443,"David","Mackintosh","davidmackintosh","","Conservative","Northamptonshire County Council","Ecton Brook and Rectory Farm"
444,"Bob","Thompson","cllrbobthompson","","Liberal Democrat","Cheshire West and Chester Unitary Authority","Hoole and Newton"
445,"John","Blackmore","cllrjsb","","Labour","Leicester City Council","New Parks"
446,"Stephen","Hodgson","sjhodgson","http://hodg.co.uk/","Conservative","Charnwood Borough Council","Loughborough Dishley & Hathern"
447,"Flick","Rea","flickrea","http://fortunegreenspotlight.blogspot.com/","Liberal Democrat","London Borough of Camden","Fortune Green"
448,"Gareth","Compton","cllrgarethcompt","","Conservative","Birmingham City Council","Erdington"
449,"Graeme","Smith","graemesmith1978","","Labour","Charnwood Borough Council","Loughborough Southfields"
450,"Robert","Massey","robertmasseyras","http://www.facebook.com/robert.massey1969","Labour","London Borough of Lewisham","Catford South"
451,"Anna","Pascoe","annapascoe","","Liberal Democrat","Camborne Town Council","North"
452,"Steve","Williams","cllr_s_williams","","Conservative","Wirral Metropolitan Borough Council","Moreton West & Saughall Massie"
453,"Sheila","Clarke","ladybebington","","Conservative","Wirral Metropolitan Borough Council","Bebington"
454,"Sophie","Williams","cllrswilliams","","Conservative","Vale of Glamorgan Borough Council","St Augustines"
455,"David","Elderton","milkfloatman","","Conservative","Wirral Metropolitan Borough Council","West Kirby and Thurstaston"
456,"Frank","Hindle","frank_hindle","","Liberal Democrat","Gateshead Metropolitan Borough Council","Low Fell"
457,"Bill","Duffey","noduff39","http://billnow.wordpress.com/","Conservative","Wirral Metropolitan Borough Council","New Brighton"
458,"Denis","Knowles","mervira","http://www.seacombe.info","Conservative","Wirral Metropolitan Borough Council","Seacombe"
459,"Jane","Hunt","janemhunt","http://janehunt4leicestereast.co.uk/","Conservative","Charnwood Borough Council","Loughborough Nanpantan"
460,"Tim","Ball","timothyball","http://www.readmyday.co.uk/timball","Liberal Democrat","Bath and North East Somerset Council","Twerton"
461,"Anthony","Earnest","valeofglamorgan","http://www.valeofglamorgan.gov.uk/our_council/council/councillors/Ernest,_Anthony_M.aspx","Conservative","Vale of Glamorgan Borough Council","Sully"
461,"Anthony","Earnest","valeofglamorgan","http://www.valeofglamorgan.gov.uk/our_council/council/councillors/Ernest,_Anthony_M.aspx","Conservative","Penarth Town Council","Plymouth"
462,"Shaun","McGall","shaunmcgall","","Liberal Democrat","Bath and North East Somerset Council","Oldfield"
463,"David","Dixon","votedave","http://www.walcot.blogspot.com/","Liberal Democrat","Bath and North East Somerset Council","Walcot"
464,"David","Edgerton","davidedgerton","http://davidedgerton.mycouncillor.org.uk/","Liberal Democrat","London Borough of Lewisham","Lewisham Central"
465,"Alex","Feakes","afeakes","","Liberal Democrat","London Borough of Lewisham","Forest Hill"
466,"Roger","Harmer","rogerbhx","","Liberal Democrat","Birmingham City Council","Acocks Green"
467,"Mark","Hill","cllrmarkhill","http://www.cllrmarkhill.blogspot.com","Conservative","Birmingham City Council","Brandwood"
468,"David","Radcliffe","radclifd","","Liberal Democrat","Birmingham City Council","Selly Oak"
469,"Amy","Kitcher","amykitcher","http://www.merthyrlibdems.co.uk","Liberal Democrat","Merthyr Tydfil County Borough Council","Town"
470,"John","Bryant","cllrjohnbryant","","Liberal Democrat","London Borough of Camden","West Hampstead"
471,"Kevin","O'Connor","kevoconnor83","","Liberal Democrat","Merthyr Tydfil County Borough Council","Plymouth"
472,"Adrian","Robson","adrian1robson","http://www.rhiwbinaward.com","Independent","Cardiff City Council","Rhiwbina"
473,"Barbara","Janke","barbara_janke","http://www.bristolwest-libdems.org.uk/","Liberal Democrat","Bristol City Council","Clifton"
474,"Simon","Rayner","simon_rayner","","Liberal Democrat","Bristol City Council","Kingsweston"
475,"Peter","Metcalfe","petermetcalfe","","Conservative","Adur District Council","Southwick Green"
476,"Alex","Folkes","alexfolkes","http://lansonboy.blogspot.com/","Liberal Democrat","Cornwall Council","Launceston Central"
477,"Steve","Double","stevedouble","http://doublespeaks.wordpress.com/","Conservative","Cornwall Council","St Austell Poltair"
478,"Rob","Nolan","robnolantruro","","Liberal Democrat","Cornwall Council","Truro Boscawen"
479,"Paul","Bates","paulbates","","Labour","London Borough of Southwark","Faraday"
480,"Julia","Berry","milliescent","","Labour","Heapey Parish Council",""
480,"Julia","Berry","milliescent","","Labour","Chorley Borough Council","Chorley East"
